Designator,Mid X,Mid Y,Rotation,Layer
D1,116.605,-57.0975,90.0,bottom
D10,116.605,-114.2475,90.0,bottom
D11,135.655,-114.2475,90.0,bottom
D12,154.705,-114.2475,90.0,bottom
D2,135.655,-57.0975,90.0,bottom
D3,154.705,-57.0975,90.0,bottom
D4,116.605,-76.1475,90.0,bottom
D5,135.655,-76.1475,90.0,bottom
D6,154.705,-76.1475,90.0,bottom
D7,116.605,-95.1975,90.0,bottom
D8,135.655,-95.1975,90.0,bottom
D9,154.705,-95.1975,90.0,bottom
S1,107.08,-57.0,0.0,top
S10,107.08,-114.15,0.0,top
S11,126.13,-114.15,0.0,top
S12,145.18,-114.15,0.0,top
S2,126.13,-57.0,0.0,top
S3,145.18,-57.0,0.0,top
S4,107.08,-76.05,0.0,top
S5,126.13,-76.05,0.0,top
S6,145.18,-76.05,0.0,top
S7,107.08,-95.1,0.0,top
S8,126.13,-95.1,0.0,top
S9,145.18,-95.1,0.0,top
U3,126.375,-35.56875,90.0,top
